	location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	keywords
0	113.666224,34.808999	北环路与文化路交会处瀚海·北金时尚购物广场1层	金水区	郑州市	B0FFHCBN9W	[]	屈臣氏	河南省	[]	购物服务;超级市场;屈臣氏	060411	113.666224	34.808999	屈臣氏
1	114.055810,22.534960	福华路	福田区	深圳市	B0FFF0BVC7	[]	屈臣氏	广东省	4008301310	购物服务;超级市场;屈臣氏	060411	114.055810	22.534960	屈臣氏
2	114.134781,22.280152	坚尼地城卑路乍街42至44号宝雅山低层地下1及2号铺	中西区	香港特别行政区	B0FFF6BA42	[]	屈臣氏	香港特别行政区	00852-26088383	购物服务;超级市场;屈臣氏	060411	114.134781	22.280152	屈臣氏
3	118.787006,32.023834	茂业天地广场B1层	秦淮区	南京市	B0FFF2HUR5	[]	屈臣氏	江苏省	4008301310	购物服务;超级市场;屈臣氏	060411	118.787006	32.023834	屈臣氏
4	114.187849,22.277447	铜锣湾恩平道44-48号恩平中心地铺1楼及2楼	湾仔区	香港特别行政区	B0FFF4VWAZ	[]	屈臣氏	香港特别行政区	00852-31693333	购物服务;超级市场;屈臣氏	060411	114.187849	22.277447	屈臣氏
5	114.162570,22.280465	中环金融街8号IFC国际金融中心3015号铺	中西区	香港特别行政区	B0FFF4VW3J	[]	屈臣氏	香港特别行政区	00852-21807492	购物服务;超级市场;屈臣氏	060411	114.162570	22.280465	屈臣氏
6	114.126751,22.366210	新界荃湾青山公路338号荃锦中心二楼104-109号铺	荃湾区	香港特别行政区	B073C0R48E	[]	屈臣氏	香港特别行政区	00852-24396303	购物服务;超级市场;屈臣氏	060411	114.126751	22.366210	屈臣氏
7	113.379185,23.125257	中山大道西188号棠下好又多1层(近科韵路)	天河区	广州市	B0FFGX8EB5	[]	屈臣氏	广东省	020-85541983	购物服务;超级市场;屈臣氏	060411	113.379185	23.125257	屈臣氏
8	120.403766,36.066910	漳州二路61号爱购时尚广场一层	市南区	青岛市	B0FFIIWWP5	[]	屈臣氏	山东省	[]	购物服务;超级市场;屈臣氏	060411	120.403766	36.066910	屈臣氏
9	113.014180,28.111223	德思勤城市广场2层	雨花区	长沙市	B0FFGHN7BU	[]	屈臣氏	湖南省	[]	购物服务;超级市场;屈臣氏	060411	113.014180	28.111223	屈臣氏
10	117.290494,31.864374	淮河路步行街228号新安商城B1层	庐阳区	合肥市	B0FFFA5VNC	[]	屈臣氏	安徽省	0551-62675890;4008301310	购物服务;超级市场;屈臣氏	060411	117.290494	31.864374	屈臣氏
11	114.180780,22.305616	油麻地伊利沙伯医院路	油尖旺区	香港特别行政区	B0FFIGULXH	[]	屈臣氏	香港特别行政区	[]	购物服务;超级市场;屈臣氏	060411	114.180780	22.305616	屈臣氏
12	114.175975,22.305981	弥敦道383-389C号及甘肃街15-17号平安大楼地下9、29-31铺	油尖旺区	香港特别行政区	B0FFHRNJI7	[]	屈臣氏	香港特别行政区	[]	购物服务;超级市场;屈臣氏	060411	114.175975	22.305981	屈臣氏
13	113.368499,23.193652	广汕一路15号首层	天河区	广州市	B0FFH9EGOG	[]	屈臣氏	广东省	4008301310	购物服务;超级市场;屈臣氏	060411	113.368499	23.193652	屈臣氏
14	114.166849,22.331566	九龙荔枝角深盛路9号宇晴轩商场2楼4142及47号铺	深水埗区	香港特别行政区	B0FFF4VWAC	[]	屈臣氏	香港特别行政区	00852-27203039;00852-27203219	购物服务;超级市场;屈臣氏	060411	114.166849	22.331566	屈臣氏
15	114.161100,22.335010	长沙湾元州街303号号元州邨元乐楼	深水埗区	香港特别行政区	B0FFI2UNA7	[]	屈臣氏	香港特别行政区	00852-23618724	购物服务;超级市场;屈臣氏	060411	114.161100	22.335010	屈臣氏
16	114.142163,22.349248	华景山路9号华景山庄华景商场地下18铺	葵青区	香港特别行政区	B0FFHKON0K	[]	屈臣氏	香港特别行政区	[]	购物服务;超级市场;屈臣氏	060411	114.142163	22.349248	屈臣氏
17	120.153038,30.286026	潮王路225号红石商务大厦3层	拱墅区	杭州市	B0FFIB50KJ	[]	屈臣氏	浙江省	[]	购物服务;超级市场;屈臣氏	060411	120.153038	30.286026	屈臣氏
18	111.681428,40.797411	人民路街道鄂尔多斯大街凯德MALL1层	赛罕区	呼和浩特市	B01D70R3NV	[]	屈臣氏	内蒙古自治区	0471-5979740;4008301310	购物服务;超级市场;屈臣氏	060411	111.681428	40.797411	屈臣氏
19	113.980321,22.385445	屯兴路2号安定邨安定邨商场2楼N-223及N-224铺	屯门区	香港特别行政区	B0FFI1XTHC	[]	屈臣氏	香港特别行政区	00852-26088383;00852-26187244	购物服务;超级市场;屈臣氏	060411	113.980321	22.385445	屈臣氏
20	114.121593,22.366862	新界荃湾青山公路338号荃锦中心二楼104-109号铺	荃湾区	香港特别行政区	B073C0503O	[]	屈臣氏	香港特别行政区	00852-26088383;00852-26142283	购物服务;超级市场;屈臣氏	060411	114.121593	22.366862	屈臣氏
21	114.175650,22.326660	石硖尾棠荫街7号	深水埗区	香港特别行政区	B0FFFY5UKB	[]	屈臣氏	香港特别行政区	[]	购物服务;超级市场;屈臣氏	060411	114.175650	22.326660	屈臣氏
22	119.300104,26.084196	八一七北路133号大洋百货3层	鼓楼区	福州市	B0FFIIUE5T	[]	屈臣氏	福建省	4008301310	购物服务;购物相关场所;购物相关场所	060000	119.300104	26.084196	屈臣氏
23	113.979500,22.393787	新界屯门乡事会路83号V City地铁楼层M-32号铺	屯门区	香港特别行政区	B0FFFW2R05	[]	屈臣氏	香港特别行政区	00852-26793202	购物服务;超级市场;屈臣氏	060411	113.979500	22.393787	屈臣氏
24	114.159955,22.335842	元洲商場1号	深水埗区	香港特别行政区	B073C03BS8	[]	屈臣氏	香港特别行政区	00852-27416174	购物服务;超级市场;屈臣氏	060411	114.159955	22.335842	屈臣氏
25	114.262787,22.305172	孟公屋路	西贡区	香港特别行政区	B0FFHN024V	[]	屈臣氏	香港特别行政区	[]	购物服务;超级市场;屈臣氏	060411	114.262787	22.305172	屈臣氏
26	114.339647,22.693143	深汕公路坪山益田假日世界2层	坪山区	深圳市	B0FFHSB8GO	[]	屈臣氏	广东省	0755-89458461	购物服务;超级市场;屈臣氏	060411	114.339647	22.693143	屈臣氏
27	113.947250,22.680210	官田社区宝石东路宏发世纪城一期星城购物中心	宝安区	深圳市	B0FFHJFTWP	[]	屈臣氏	广东省	0755-27209770	购物服务;超级市场;屈臣氏	060411	113.947250	22.680210	屈臣氏
28	114.119449,22.365753	青衣长发邨长发商场2楼209铺	荃湾区	香港特别行政区	B073C0R48I	[]	屈臣氏	香港特别行政区	00852-26143695	购物服务;超级市场;屈臣氏	060411	114.119449	22.365753	屈臣氏
29	108.973003,34.269113	长乐西路166号益田假日世界购物中心店一层	新城区	西安市	B0FFHZW5FK	[]	屈臣氏	陕西省	4008301310	购物服务;超级市场;屈臣氏	060411	108.973003	34.269113	屈臣氏
30	114.208785,22.328076	九龙城晴朗商场地下B021号铺	九龙城区	香港特别行政区	B0FFHFH458	[]	屈臣氏	香港特别行政区	[]	购物服务;超级市场;屈臣氏	060411	114.208785	22.328076	屈臣氏
31	114.166465,22.275509	中環紅棉路15號中區消防局	中西区	香港特别行政区	B0FFHF2ELG	[]	屈臣氏	香港特别行政区	[]	购物服务;超级市场;屈臣氏	060411	114.166465	22.275509	屈臣氏
32	113.121757,23.106365	大沥城南二路大沥商业步行街1层	南海区	佛山市	B0FFII5C0Q	[]	屈臣氏	广东省	[]	购物服务;超级市场;屈臣氏	060411	113.121757	23.106365	屈臣氏
33	114.047049,22.602126	梅龙路2号COCO City	龙华区	深圳市	B0FFH6SNFT	[]	屈臣氏	广东省	[]	购物服务;超级市场;屈臣氏	060411	114.047049	22.602126	屈臣氏
34	115.366914,22.776092	园林东街81号	城区	汕尾市	B0FFIN05NV	[]	屈臣氏	广东省	0660-3200288	购物服务;购物相关场所;购物相关场所	060000	115.366914	22.776092	屈臣氏
